URL,Name,Citation,Department,Title,Edu1,Edu2,Edu3,PhD_School,PhD_Major,BA_School,BA_Country,US or Not,Rank,Current
https://www.gsb.stanford.edu/faculty-research/faculty/hayagreeva-rao,Hayagreeva Rao,22791,Organizational Behavior,The Atholl McBean Professor of Organizational Behavior and Human Resources,"PhD, Case Western Reserve University, 1989","Post-Graduate Diploma in Personnel Management and Industrial Relations, XLRI, India, 1980","BA, Andhra University, India, 1978",Case Western Reserve University,,Andhra University,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/joshua-d-rauh,Joshua D. Rauh,7821,Finance,The Ormond Family Professor of Finance,,,,MIT,Finance,Yale,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/condoleezza-rice,Condoleezza Rice,,Political Economy,The Denning Professor in Global Business and the Economy,"PhD, Graduate School of International Studies, University of Denver, 1981","MA, University of Notre Dame, 1975","BA, University of Denver, 1974.", University of Denver,,University of Denver,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/claudia-robles-garcia,Claudia Robles-Garcia,,Finance,Assistant Professor of Finance,"PhD in Economics, London School of Economics, 2019","MRes in Economics, London School of Economics, 2014??€?16","Masters in Economics and Finance, CEMFI, 2012??€?14",London School of Economics,Economics,Universidad Carlos III de Madrid,Spain,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/alvin-roth,Alvin Roth,,Economics,"Craig and Susan McCaw Professor of Economics, School of Humanities and Sciences","PhD in Operations Research, Stanford University, 1974","MS in Operations Research, Stanford University, 1973","BS in Operations Research, Columbia University, 1971",Stanford,Operations Research,Columbia,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/daniela-saban,Daniela Saban,1176,"Operations, Information & Technology","Associate Professor of Operations, Information & Technology","PhD, Operations Management, Graduate School of Business, Columbia University, 2015","MS, Computer Science, Universidad de Buenos Aires, 2009","BS, Computer Science, Universidad de Buenos Aires, 2006",Columbia,Operations Management,Universidad de Buenos Aires,Argentina,Non-USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/navdeep-s-sahni,Navdeep S. Sahni,1285,Marketing,Associate Professor of Marketing,"PhD. Quantitative Marketing, University of Chicago Booth School of Business, 2007??€?12","B. Tech & M. Tech, Mathematics & Computing, Indian Institute of Technology, Delhi, 2004",,Chicago,Quantitative Marketing,Indian Institute of Technology,India,Non-USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/garth-saloner,Garth Saloner,,Economics,Botha-Chan Professor of Economics,"PhD, Stanford University, 1982","MS, Stanford University, 1982","AM, Stanford University, 1981",Stanford,,University of Witwatersrand, South Africa,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/yuliy-sannikov,Yuliy Sannikov,,Economics,The Jack Steele Parker Professor of Economics,"PhD, Business Administration, Stanford GSB, 2004","AB, Mathematics, Princeton University, 2000",, Stanford,Business Administration,Princeton,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/amit-seru,Amit Seru,18550,Finance,The Steven and Roberta Denning Professor of Finance,"PhD in Finance, University of Michigan, 2007","MBA, University of Delhi, 1998","B. E. in Electronics & Communication, University of Delhi, 1996",University of Michigan,Finance,University of Delhi,India,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/kathryn-shaw,Kathryn Shaw,14460,Economics,The Ernest C. Arbuckle Professor of Economics,"PhD, Economics, Harvard University, 1981","AB, Economics & Mathematics, Occidental College, 1976",,Harvard,Economics,Occidental College,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/baba-shiv,Baba Shiv,14914,Marketing,"The Sanwa Bank, Limited, Professor of Marketing","PhD, Duke University, 1996","MBA, Indian Institute of Management, Ahmedabad, 1988","BE, College of Engineering, Guindy, Chennai, 1983",Duke,,"College of Engineering, Guindy, Chennai",India,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/ken-shotts,Ken Shotts,3312,Political Economy,The David S. and Ann M. Barlow Professor of Political Economy,"PhD in Political Economy, Stanford GSB, 1999","BA in Political Science, Stanford University, 1993",,Stanford,Political Economy,Stanford,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/christopher-tonetti,Christopher Tonetti,2046,Economics,Associate Professor of Economics,"PhD, Economics, New York University, 2013","BA, Economics-Mathematics, Columbia University, 2005",,NYU,Economics,Columbia,USA,USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/zakary-tormala,Zakary Tormala,14519,Marketing,The Laurence W. Lane Professor of Behavioral Science and Marketing,"PhD in Psychology, The Ohio State University, 2003","MA in Psychology, The Ohio State University, 1999","BA in Psychology, Arizona State University, 1996",Ohio State University,Psychology,Arizona State University,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/shoshana-vasserman,Shoshana Vasserman,454,Economics,Assistant Professor of Economics,"PhD in Economics, Harvard University, 2019","AM in Economics, Harvard University, 2016","BS in Mathematics and Economics, MIT, 2013",Harvard,Economics,MIT,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/vikrant-vig,Vikrant Vig,,Finance,William R. Timken Professor and Professor of Finance,,,,,,,,,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/stefan-wager,Stefan Wager,12831,"Operations, Information & Technology","Associate Professor of Operations, Information and Technology","PhD, Statistics, Stanford University, 2016","BS, Mathematics, Stanford University, 2011",,Stanford,Statistics,Stanford,USA,USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/yuyan-wang,Yuyan Wang,426,Marketing,Assistant Professor of Marketing,"PhD in Statistics; Department of Operations Research & Financial Engineering, Princeton University; 2016","BS in Statistics; Special Class for the Gifted Young, University of Science and Technology of China; 2012",,Princeton,Statistics,University of Science and Technology of China,China,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/lawrence-m-wein,Lawrence M. Wein,11551,"Operations, Information & Technology",The Jeffrey S. Skoll Professor of Management Science,"PhD, Stanford University, 1988","MS, Stanford University, 1985","MS, Stanford University, 1980",Stanford,,Cornell,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/gabriel-weintraub,Gabriel Weintraub,2679,"Operations, Information & Technology","The Amman Mineral Professor of Operations, Information & Technology","PhD in Management Science and Engineering, Stanford University, 2006","MA in Economics, Stanford University, 2005","Industrial Engineering Degree, University of Chile, 1999",Stanford,Management Science and Engineering,University of Chile,Chile,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/s-christian-wheeler,S. Christian Wheeler,8842,Marketing,The StrataCom Professor of Management and Professor of Marketing,"PhD in Psychology, Ohio State University, 2001","MA in Psychology, Ohio State University, 1997","BA in Psychology, University of Northern Iowa, 1995",Ohio State University,Psychology,University of Northern Iowa,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/chenzi-xu,Chenzi Xu,105,Finance,Assistant Professor of Finance,"PhD in Economics, Harvard University, 2019","MPhil in Economic and Social History, University of Cambridge, 2013","AB in Economics, Harvard University, 2012",Harvard,Economics,Harvard,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/janet-xu,Janet Xu,,Organizational Behavior,Assistant Professor of Organizational Behavior,"PhD in Sociology, Princeton University, 2021","BA in Sociology and Public Policy, University of Chicago, 2014",, Princeton,Sociology,Chicago,USA,USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/kuang-xu,Kuang Xu,822,"Operations, Information & Technology","Associate Professor of Operations, Information & Technology","PhD, Electrical Engineering and Computer Science, Massachusetts Institute of Technology, 2014","SM, Electrical Engineering and Computer Science, Massachusetts Institute of Technology, 2011","BS, Electrical Engineering, University of Illinois at Urbana-Champaign, 2009",MIT,Electrical Engineering and Computer Science,UIUC,USA,USA,Associate,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/ali-yurukoglu,Ali Yurukoglu,2030,Economics,Professor of Economics,"PhD, Economics, NYU Stern, 2009","BA, Economics and Mathematics, Northwestern University, 2004",,NYU,Economics,Northwestern,USA,USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/stefanos-zenios,Stefanos Zenios,5807,"Operations, Information & Technology","The Investment Group of Santa Barbara Professor of Entrepreneurship and Professor of Operations, Information & Technology","PhD in Operations Research, Massachusetts Institute of Technology, 1996","MA, Trinity College, University of Cambridge, Cambridge, England, 1996","BA, University of Cambridge, 1992",MIT,Operations Research,Cambridge,UK,Non-USA,Full,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/weijie-zhong,Weijie Zhong,298,Economics,Assistant Professor of Economics,"PhD in Economics, Columbia University, 2019","BSc in Mathematics and Physics, Tsinghua University, 2013","BA in Economics, Tsinghua University, 2010??€?13",Columbia,Economics,Tsinghua University,China,Non-USA,Assistant,Stanford
https://www.gsb.stanford.edu/faculty-research/faculty/jeffrey-zwiebel,Jeffrey Zwiebel,,Finance,The James C. Van Horne Professor of Finance,"PhD, Massachusetts Institute of Technology, 1991","AB, Princeton University, 1987",,MIT,,Princeton,USA,USA,Full,Stanford
